o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
13710944,227285,O,162169.66,1995-10-11,1-URGENT,Clerk#000000432,0,accounts. ruthlessly regular accounts alongside of the car
13710945,225010,O,252273.67,1997-09-29,5-LOW,Clerk#000002337,0,ironic platelets snooze slyly. instru
13710946,238820,O,179947.16,1997-10-31,2-HIGH,Clerk#000004135,0,ole requests. regularly 
13710947,581233,O,33843.49,1995-05-25,2-HIGH,Clerk#000000138,0,arefully final platelets. carefully express packages boost careful
13710948,10033,O,42500.65,1995-09-04,4-NOT SPECIFIED,Clerk#000003398,0,regular requests use furiously. fluffily 
13710949,615502,O,48225.35,1995-07-13,3-MEDIUM,Clerk#000004639,0,ate quickly along the enticing ideas. furiously i
13710950,710665,F,265761.00,1992-11-29,2-HIGH,Clerk#000000735,0,", sly ideas among the ideas promise furiously about the furiously e"
13710951,382528,F,137666.86,1993-05-21,5-LOW,Clerk#000000777,0,. blithely pending packages nag furiously against the carefully unusual ac
13710976,122618,O,158725.42,1998-03-06,4-NOT SPECIFIED,Clerk#000001281,0,ages. final packages wake carefully according
13710977,575623,O,178703.66,1998-05-04,5-LOW,Clerk#000003371,0,", final requests hinder s"
